scenario,metric,n,mean,median,stdev,ci95_halfwidth,ci95_lower,ci95_upper
moving_obstacle_approaching_swarm,swarm_stability,0,,,,,,
moving_obstacle_approaching_swarm,rmse_position_error,0,,,,,,
moving_obstacle_approaching_swarm,velocity_estimation_error,0,,,,,,
moving_obstacle_approaching_swarm,track_continuity,0,,,,,,
moving_obstacle_approaching_swarm,track_fragmentation,0,,,,,,
moving_obstacle_approaching_swarm,false_track_count,0,,,,,,
moving_obstacle_approaching_swarm,missed_track_count,0,,,,,,
moving_obstacle_approaching_swarm,track_confirmation_time_steps,0,,,,,,
moving_obstacle_approaching_swarm,track_loss_duration_steps,0,,,,,,
moving_obstacle_approaching_swarm,association_error_count,0,,,,,,
moving_obstacle_approaching_swarm,average_covariance,0,,,,,,
moving_obstacle_approaching_swarm,fusion_consistency_error,0,,,,,,
moving_obstacle_approaching_swarm,messages_sent,0,,,,,,
moving_obstacle_approaching_swarm,messages_dropped,0,,,,,,
moving_obstacle_approaching_swarm,avg_message_delay_steps,0,,,,,,
moving_obstacle_approaching_swarm,communication_load,0,,,,,,
target_temporarily_lost,collision_risk_count,0,,,,,,
target_temporarily_lost,total_near_misses,0,,,,,,
target_temporarily_lost,mission_success,0,,,,,,
target_temporarily_lost,avg_response_time_s,0,,,,,,
target_temporarily_lost,avg_formation_error,0,,,,,,
target_temporarily_lost,unnecessary_avoidance_count,0,,,,,,
target_temporarily_lost,missed_response_count,0,,,,,,
target_temporarily_lost,wrong_decisions,0,,,,,,
target_temporarily_lost,swarm_stability,0,,,,,,
target_temporarily_lost,rmse_position_error,0,,,,,,
target_temporarily_lost,velocity_estimation_error,0,,,,,,
target_temporarily_lost,track_continuity,0,,,,,,
target_temporarily_lost,track_fragmentation,0,,,,,,
target_temporarily_lost,false_track_count,0,,,,,,
target_temporarily_lost,missed_track_count,0,,,,,,
target_temporarily_lost,track_confirmation_time_steps,0,,,,,,
target_temporarily_lost,track_loss_duration_steps,0,,,,,,
target_temporarily_lost,association_error_count,0,,,,,,
target_temporarily_lost,average_covariance,0,,,,,,
target_temporarily_lost,fusion_consistency_error,0,,,,,,
target_temporarily_lost,messages_sent,0,,,,,,
target_temporarily_lost,messages_dropped,0,,,,,,
target_temporarily_lost,avg_message_delay_steps,0,,,,,,
target_temporarily_lost,communication_load,0,,,,,,
target_reappearing_after_dropout,collision_risk_count,0,,,,,,
target_reappearing_after_dropout,total_near_misses,0,,,,,,
target_reappearing_after_dropout,mission_success,0,,,,,,
target_reappearing_after_dropout,avg_response_time_s,0,,,,,,
target_reappearing_after_dropout,avg_formation_error,0,,,,,,
target_reappearing_after_dropout,unnecessary_avoidance_count,0,,,,,,
target_reappearing_after_dropout,missed_response_count,0,,,,,,
target_reappearing_after_dropout,wrong_decisions,0,,,,,,
target_reappearing_after_dropout,swarm_stability,0,,,,,,
target_reappearing_after_dropout,rmse_position_error,0,,,,,,
target_reappearing_after_dropout,velocity_estimation_error,0,,,,,,
target_reappearing_after_dropout,track_continuity,0,,,,,,
target_reappearing_after_dropout,track_fragmentation,0,,,,,,
target_reappearing_after_dropout,false_track_count,0,,,,,,
target_reappearing_after_dropout,missed_track_count,0,,,,,,
target_reappearing_after_dropout,track_confirmation_time_steps,0,,,,,,
target_reappearing_after_dropout,track_loss_duration_steps,0,,,,,,
target_reappearing_after_dropout,association_error_count,0,,,,,,
target_reappearing_after_dropout,average_covariance,0,,,,,,
target_reappearing_after_dropout,fusion_consistency_error,0,,,,,,
target_reappearing_after_dropout,messages_sent,0,,,,,,
target_reappearing_after_dropout,messages_dropped,0,,,,,,
target_reappearing_after_dropout,avg_message_delay_steps,0,,,,,,
target_reappearing_after_dropout,communication_load,0,,,,,,
clutter_near_real_target,collision_risk_count,0,,,,,,
clutter_near_real_target,total_near_misses,0,,,,,,
clutter_near_real_target,mission_success,0,,,,,,
clutter_near_real_target,avg_response_time_s,0,,,,,,
clutter_near_real_target,avg_formation_error,0,,,,,,
clutter_near_real_target,unnecessary_avoidance_count,0,,,,,,
clutter_near_real_target,missed_response_count,0,,,,,,
clutter_near_real_target,wrong_decisions,0,,,,,,
clutter_near_real_target,swarm_stability,0,,,,,,
clutter_near_real_target,rmse_position_error,0,,,,,,
clutter_near_real_target,velocity_estimation_error,0,,,,,,
clutter_near_real_target,track_continuity,0,,,,,,
clutter_near_real_target,track_fragmentation,0,,,,,,
clutter_near_real_target,false_track_count,0,,,,,,
clutter_near_real_target,missed_track_count,0,,,,,,
clutter_near_real_target,track_confirmation_time_steps,0,,,,,,
clutter_near_real_target,track_loss_duration_steps,0,,,,,,
clutter_near_real_target,association_error_count,0,,,,,,
clutter_near_real_target,average_covariance,0,,,,,,
clutter_near_real_target,fusion_consistency_error,0,,,,,,
clutter_near_real_target,messages_sent,0,,,,,,
clutter_near_real_target,messages_dropped,0,,,,,,
clutter_near_real_target,avg_message_delay_steps,0,,,,,,
clutter_near_real_target,communication_load,0,,,,,,
closely_spaced_targets,collision_risk_count,0,,,,,,
closely_spaced_targets,total_near_misses,0,,,,,,
closely_spaced_targets,mission_success,0,,,,,,
closely_spaced_targets,avg_response_time_s,0,,,,,,
closely_spaced_targets,avg_formation_error,0,,,,,,
closely_spaced_targets,unnecessary_avoidance_count,0,,,,,,
closely_spaced_targets,missed_response_count,0,,,,,,
closely_spaced_targets,wrong_decisions,0,,,,,,
closely_spaced_targets,swarm_stability,0,,,,,,
closely_spaced_targets,rmse_position_error,0,,,,,,
closely_spaced_targets,velocity_estimation_error,0,,,,,,
closely_spaced_targets,track_continuity,0,,,,,,
closely_spaced_targets,track_fragmentation,0,,,,,,
closely_spaced_targets,false_track_count,0,,,,,,
closely_spaced_targets,missed_track_count,0,,,,,,
closely_spaced_targets,track_confirmation_time_steps,0,,,,,,
closely_spaced_targets,track_loss_duration_steps,0,,,,,,
closely_spaced_targets,association_error_count,0,,,,,,
closely_spaced_targets,average_covariance,0,,,,,,
closely_spaced_targets,fusion_consistency_error,0,,,,,,
closely_spaced_targets,messages_sent,0,,,,,,
closely_spaced_targets,messages_dropped,0,,,,,,
closely_spaced_targets,avg_message_delay_steps,0,,,,,,
closely_spaced_targets,communication_load,0,,,,,,
env_clear,collision_risk_count,0,,,,,,
env_clear,total_near_misses,0,,,,,,
env_clear,mission_success,0,,,,,,
env_clear,avg_response_time_s,0,,,,,,
env_clear,avg_formation_error,0,,,,,,
env_clear,unnecessary_avoidance_count,0,,,,,,
env_clear,missed_response_count,0,,,,,,
env_clear,wrong_decisions,0,,,,,,
env_clear,swarm_stability,0,,,,,,
env_clear,rmse_position_error,0,,,,,,
env_clear,velocity_estimation_error,0,,,,,,
env_clear,track_continuity,0,,,,,,
env_clear,track_fragmentation,0,,,,,,
env_clear,false_track_count,0,,,,,,
env_clear,missed_track_count,0,,,,,,
env_clear,track_confirmation_time_steps,0,,,,,,
env_clear,track_loss_duration_steps,0,,,,,,
env_clear,association_error_count,0,,,,,,
env_clear,average_covariance,0,,,,,,
env_clear,fusion_consistency_error,0,,,,,,
env_clear,messages_sent,0,,,,,,
env_clear,messages_dropped,0,,,,,,
env_clear,avg_message_delay_steps,0,,,,,,
env_clear,communication_load,0,,,,,,
env_low_visibility,collision_risk_count,0,,,,,,
env_low_visibility,total_near_misses,0,,,,,,
env_low_visibility,mission_success,0,,,,,,
env_low_visibility,avg_response_time_s,0,,,,,,
env_low_visibility,avg_formation_error,0,,,,,,
env_low_visibility,unnecessary_avoidance_count,0,,,,,,
env_low_visibility,missed_response_count,0,,,,,,
env_low_visibility,wrong_decisions,0,,,,,,
env_low_visibility,swarm_stability,0,,,,,,
env_low_visibility,rmse_position_error,0,,,,,,
env_low_visibility,velocity_estimation_error,0,,,,,,
env_low_visibility,track_continuity,0,,,,,,
env_low_visibility,track_fragmentation,0,,,,,,
env_low_visibility,false_track_count,0,,,,,,
env_low_visibility,missed_track_count,0,,,,,,
env_low_visibility,track_confirmation_time_steps,0,,,,,,
env_low_visibility,track_loss_duration_steps,0,,,,,,
env_low_visibility,association_error_count,0,,,,,,
env_low_visibility,average_covariance,0,,,,,,
env_low_visibility,fusion_consistency_error,0,,,,,,
env_low_visibility,messages_sent,0,,,,,,
env_low_visibility,messages_dropped,0,,,,,,
env_low_visibility,avg_message_delay_steps,0,,,,,,
env_low_visibility,communication_load,0,,,,,,
env_fog,collision_risk_count,0,,,,,,
env_fog,total_near_misses,0,,,,,,
env_fog,mission_success,0,,,,,,
env_fog,avg_response_time_s,0,,,,,,
env_fog,avg_formation_error,0,,,,,,
env_fog,unnecessary_avoidance_count,0,,,,,,
env_fog,missed_response_count,0,,,,,,
env_fog,wrong_decisions,0,,,,,,
env_fog,swarm_stability,0,,,,,,
env_fog,rmse_position_error,0,,,,,,
env_fog,velocity_estimation_error,0,,,,,,
env_fog,track_continuity,0,,,,,,
env_fog,track_fragmentation,0,,,,,,
env_fog,false_track_count,0,,,,,,
env_fog,missed_track_count,0,,,,,,
env_fog,track_confirmation_time_steps,0,,,,,,
env_fog,track_loss_duration_steps,0,,,,,,
env_fog,association_error_count,0,,,,,,
env_fog,average_covariance,0,,,,,,
env_fog,fusion_consistency_error,0,,,,,,
env_fog,messages_sent,0,,,,,,
env_fog,messages_dropped,0,,,,,,
env_fog,avg_message_delay_steps,0,,,,,,
env_fog,communication_load,0,,,,,,
env_heavy_clutter,collision_risk_count,0,,,,,,
env_heavy_clutter,total_near_misses,0,,,,,,
env_heavy_clutter,mission_success,0,,,,,,
env_heavy_clutter,avg_response_time_s,0,,,,,,
env_heavy_clutter,avg_formation_error,0,,,,,,
env_heavy_clutter,unnecessary_avoidance_count,0,,,,,,
env_heavy_clutter,missed_response_count,0,,,,,,
env_heavy_clutter,wrong_decisions,0,,,,,,
env_heavy_clutter,swarm_stability,0,,,,,,
env_heavy_clutter,rmse_position_error,0,,,,,,
env_heavy_clutter,velocity_estimation_error,0,,,,,,
env_heavy_clutter,track_continuity,0,,,,,,
env_heavy_clutter,track_fragmentation,0,,,,,,
env_heavy_clutter,false_track_count,0,,,,,,
env_heavy_clutter,missed_track_count,0,,,,,,
env_heavy_clutter,track_confirmation_time_steps,0,,,,,,
env_heavy_clutter,track_loss_duration_steps,0,,,,,,
env_heavy_clutter,association_error_count,0,,,,,,
env_heavy_clutter,average_covariance,0,,,,,,
env_heavy_clutter,fusion_consistency_error,0,,,,,,
env_heavy_clutter,messages_sent,0,,,,,,
env_heavy_clutter,messages_dropped,0,,,,,,
env_heavy_clutter,avg_message_delay_steps,0,,,,,,
env_heavy_clutter,communication_load,0,,,,,,
env_communication_delay,collision_risk_count,0,,,,,,
env_communication_delay,total_near_misses,0,,,,,,
env_communication_delay,mission_success,0,,,,,,
env_communication_delay,avg_response_time_s,0,,,,,,
env_communication_delay,avg_formation_error,0,,,,,,
env_communication_delay,unnecessary_avoidance_count,0,,,,,,
env_communication_delay,missed_response_count,0,,,,,,
env_communication_delay,wrong_decisions,0,,,,,,
env_communication_delay,swarm_stability,0,,,,,,
env_communication_delay,rmse_position_error,0,,,,,,
env_communication_delay,velocity_estimation_error,0,,,,,,
env_communication_delay,track_continuity,0,,,,,,
env_communication_delay,track_fragmentation,0,,,,,,
env_communication_delay,false_track_count,0,,,,,,
env_communication_delay,missed_track_count,0,,,,,,
env_communication_delay,track_confirmation_time_steps,0,,,,,,
env_communication_delay,track_loss_duration_steps,0,,,,,,
env_communication_delay,association_error_count,0,,,,,,
env_communication_delay,average_covariance,0,,,,,,
env_communication_delay,fusion_consistency_error,0,,,,,,
env_communication_delay,messages_sent,0,,,,,,
env_communication_delay,messages_dropped,0,,,,,,
env_communication_delay,avg_message_delay_steps,0,,,,,,
