comparison_group,group_a,group_b,metric,n_a,n_b,mean_a,mean_b,mean_diff,t_stat,p_value_normal_approx,significant_95
baseline_vs_scenario,baseline,perfect_communication,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,perfect_communication,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,perfect_communication,avg_response_time_s,20,20,0.0013,0.0432,-0.0419,-7.9189,0.0,True
baseline_vs_scenario,baseline,perfect_communication,rmse_position_error,20,20,0.6147,0.6258,-0.0112,-2.1339,0.0329,True
baseline_vs_scenario,baseline,low_packet_loss,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,low_packet_loss,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,low_packet_loss,avg_response_time_s,20,20,0.0013,0.0432,-0.0419,-7.9189,0.0,True
baseline_vs_scenario,baseline,low_packet_loss,rmse_position_error,20,20,0.6147,0.6258,-0.0112,-2.1339,0.0329,True
baseline_vs_scenario,baseline,high_packet_loss,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,high_packet_loss,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,high_packet_loss,avg_response_time_s,20,20,0.0013,0.0432,-0.0419,-7.9189,0.0,True
baseline_vs_scenario,baseline,high_packet_loss,rmse_position_error,20,20,0.6147,0.6258,-0.0112,-2.1339,0.0329,True
baseline_vs_scenario,baseline,short_communication_range,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,short_communication_range,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,short_communication_range,avg_response_time_s,20,20,0.0013,0.0432,-0.0419,-7.9189,0.0,True
baseline_vs_scenario,baseline,short_communication_range,rmse_position_error,20,20,0.6147,0.6258,-0.0112,-2.1339,0.0329,True
baseline_vs_scenario,baseline,delayed_track_sharing,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,delayed_track_sharing,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,delayed_track_sharing,avg_response_time_s,20,20,0.0013,0.0432,-0.0419,-7.9189,0.0,True
baseline_vs_scenario,baseline,delayed_track_sharing,rmse_position_error,20,20,0.6147,0.6258,-0.0112,-2.1339,0.0329,True
baseline_vs_scenario,baseline,communication_outage,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,communication_outage,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,communication_outage,avg_response_time_s,20,20,0.0013,0.0432,-0.0419,-7.9189,0.0,True
baseline_vs_scenario,baseline,communication_outage,rmse_position_error,20,20,0.6147,0.6258,-0.0112,-2.1339,0.0329,True
baseline_vs_scenario,baseline,faulty_sensor_naive_fusion,collision_risk_count,20,20,0,0.3,-0.3,-1.453,0.1462,False
baseline_vs_scenario,baseline,faulty_sensor_naive_fusion,mission_success,20,20,1,0.9,0.1,1.453,0.1462,False
baseline_vs_scenario,baseline,faulty_sensor_naive_fusion,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
baseline_vs_scenario,baseline,faulty_sensor_naive_fusion,rmse_position_error,20,20,0.6147,1.8265,-1.2119,-130.7089,0.0,True
baseline_vs_scenario,baseline,faulty_sensor_confidence_weighted_fusion,collision_risk_count,20,20,0,0.65,-0.65,-1.4118,0.158,False
baseline_vs_scenario,baseline,faulty_sensor_confidence_weighted_fusion,mission_success,20,20,1,0.9,0.1,1.453,0.1462,False
baseline_vs_scenario,baseline,faulty_sensor_confidence_weighted_fusion,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
baseline_vs_scenario,baseline,faulty_sensor_confidence_weighted_fusion,rmse_position_error,20,20,0.6147,1.8146,-1.1999,-124.7002,0.0,True
baseline_vs_scenario,baseline,faulty_sensor_trust_weighted_fusion_fixed,collision_risk_count,20,20,0,0.8,-0.8,-1.5502,0.1211,False
baseline_vs_scenario,baseline,faulty_sensor_trust_weighted_fusion_fixed,mission_success,20,20,1,0.8,0.2,2.1794,0.0293,True
baseline_vs_scenario,baseline,faulty_sensor_trust_weighted_fusion_fixed,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
baseline_vs_scenario,baseline,faulty_sensor_trust_weighted_fusion_fixed,rmse_position_error,20,20,0.6147,1.8064,-1.1918,-98.3571,0.0,True
baseline_vs_scenario,baseline,faulty_sensor_trust_weighted_fusion_dynamic,collision_risk_count,20,20,0,1.2,-1.2,-2.1248,0.0336,True
baseline_vs_scenario,baseline,faulty_sensor_trust_weighted_fusion_dynamic,mission_success,20,20,1,0.8,0.2,2.1794,0.0293,True
baseline_vs_scenario,baseline,faulty_sensor_trust_weighted_fusion_dynamic,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
baseline_vs_scenario,baseline,faulty_sensor_trust_weighted_fusion_dynamic,rmse_position_error,20,20,0.6147,1.8045,-1.1898,-107.5935,0.0,True
baseline_vs_scenario,baseline,faulty_sensor_covariance_weighted_fusion,collision_risk_count,20,20,0,0.95,-0.95,-1.9005,0.0574,False
baseline_vs_scenario,baseline,faulty_sensor_covariance_weighted_fusion,mission_success,20,20,1,0.8,0.2,2.1794,0.0293,True
baseline_vs_scenario,baseline,faulty_sensor_covariance_weighted_fusion,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
baseline_vs_scenario,baseline,faulty_sensor_covariance_weighted_fusion,rmse_position_error,20,20,0.6147,1.8267,-1.212,-123.4646,0.0,True
baseline_vs_scenario,baseline,very_low_P_D,collision_risk_count,20,20,0,47.95,-47.95,-9.5825,0.0,True
baseline_vs_scenario,baseline,very_low_P_D,mission_success,20,20,1,0,1,0.0,1.0,False
baseline_vs_scenario,baseline,very_low_P_D,avg_response_time_s,20,20,0.0013,1.6714,-1.6701,-18.2154,0.0,True
baseline_vs_scenario,baseline,very_low_P_D,rmse_position_error,20,20,0.6147,0.8041,-0.1895,-1.7178,0.0858,False
