scenario,trial,seed,status,runtime_seconds,false_positive_rate,false_negative_rate,noise_level,latency_steps,dropout_probability,confidence_error_level,fusion_mode,collision_count,total_near_misses,collision_risk_count,minimum_separation,mission_success,mission_completion_time_s,avg_response_time_s,formation_error_rmse,unnecessary_avoidance_count,missed_response_count,hold_duration,wrong_decisions,swarm_stability,rmse_position_error,velocity_rmse,track_continuity,track_fragmentation,false_detections,missed_detections,false_tracks,missed_tracks,track_confirmation_time_steps,track_loss_duration_steps,average_track_lifetime_steps,association_errors,average_covariance,messages_sent,messages_received,messages_dropped,stale_messages,avg_message_delay_steps,communication_load,max_outage_duration_steps,avg_recovery_time_steps,error
false_positive,11,52,PASS,1.4772,0.08,0.0,0.0,0,0.0,0.0,no_fusion,0,56,0,,1,,0.0,4.7027,72,0,0,72,1.3295,0.6119,0.1148,0.3269,0,109,0,0,0,2,,111,0,2.1442,1930,448,1482,0,2,4.308,0,,
false_positive,12,53,PASS,1.6602,0.08,0.0,0.0,0,0.0,0.0,no_fusion,0,172,0,,1,,0.0,3.8318,73,0,0,73,0.8605,0.633,0.1172,0.3174,0,107,1,0,0,2,1,112.25,0,2.1388,1982,453,1529,0,2,4.3753,0,,
false_positive,13,54,PASS,1.7036,0.08,0.0,0.0,0,0.0,0.0,no_fusion,0,53,0,,1,,0.0,4.7314,55,0,0,55,1.3592,0.6414,0.1163,0.3316,0,87,3,0,0,2,1,111.75,0,2.1431,1940,451,1489,0,2,4.3016,0,,
false_positive,14,55,PASS,1.8226,0.08,0.0,0.0,0,0.0,0.0,no_fusion,0,62,0,,1,,0.0,4.0788,65,0,0,65,0.7594,0.6241,0.1147,0.3175,0,96,2,0,0,2,1,106.25,0,2.197,1854,429,1425,0,2,4.3217,0,,
false_positive,15,56,PASS,1.5137,0.08,0.0,0.0,0,0.0,0.0,no_fusion,0,71,0,,1,,0.0,4.1664,87,0,0,87,0.9172,0.6296,0.1157,0.3227,0,126,1,0,0,2,1,110.25,0,2.1533,1930,445,1485,0,2,4.3371,0,,
false_positive,16,57,PASS,1.4702,0.08,0.0,0.0,0,0.0,0.0,no_fusion,0,56,0,,1,,0.0,4.6862,67,0,0,67,1.2026,0.6317,0.115,0.3277,0,115,0,0,0,2,,112,0,2.1343,1950,452,1498,0,2,4.3142,0,,
false_positive,17,58,PASS,1.4082,0.08,0.0,0.0,0,0.0,0.0,no_fusion,0,58,0,,1,,0.0,4.2993,59,0,0,59,1.1331,0.6082,0.1182,0.3271,0,94,2,0,0,2,1,110.5,0,2.1523,1950,446,1504,0,2,4.3722,0,,
false_positive,18,59,PASS,1.5444,0.08,0.0,0.0,0,0.0,0.0,no_fusion,0,84,0,,1,,0.0,4.3928,67,0,0,67,1.0878,0.6445,0.1084,0.3218,0,101,2,0,0,2,1,110.75,0,2.1572,1934,447,1487,0,2,4.3266,0,,
false_positive,19,60,PASS,1.6572,0.08,0.0,0.0,0,0.0,0.0,no_fusion,0,62,0,,1,,0.0,4.8518,77,0,0,77,1.3557,0.6208,0.1146,0.3248,0,115,0,0,0,2,,112.5,0,2.1294,1960,454,1506,0,2,4.3172,0,,
false_positive,20,61,PASS,1.6505,0.08,0.0,0.0,0,0.0,0.0,no_fusion,0,47,0,,1,,0.0,4.9796,69,0,0,69,1.4315,0.6089,0.113,0.3404,0,113,1,0,0,2.5,1,116.75,0,2.1459,2030,471,1559,0,2,4.31,0,,
false_negative,1,42,PASS,1.2165,0.0,0.25,0.0,0,0.0,0.0,no_fusion,0,43,0,,1,,0.113,4.8076,0,11,0,11,1.4747,0.6034,0.1135,0.3282,6,0,110,0,0,2.5,1.375,43.6,0,4.3573,1908,446,1462,0,2,4.278,0,,
false_negative,2,43,PASS,1.0947,0.0,0.25,0.0,0,0.0,0.0,no_fusion,0,48,0,,1,,0.05,4.1336,0,12,0,12,0.8588,0.6479,0.1167,0.3223,6,0,96,0,0,2.6667,1.3714,42.6,0,4.6313,1888,436,1452,0,2,4.3303,0,,
false_negative,3,44,PASS,1.0306,0.0,0.25,0.0,0,0.0,0.0,no_fusion,0,48,0,,1,,0.125,4.8375,0,14,0,14,1.4946,0.6066,0.1204,0.325,6,0,114,0,0,3.8,1.3735,43.2,0,4.6479,1900,442,1458,0,2,4.2986,0,,
false_negative,4,45,PASS,1.1817,0.0,0.25,0.0,0,0.0,0.0,no_fusion,0,59,0,,1,,0.088,4.7706,0,10,0,10,1.4379,0.5855,0.1193,0.3239,3,0,104,0,0,4,1.3506,61.4286,0,3.7207,1888,437,1451,0,2,4.3204,0,,
false_negative,5,46,PASS,1.0422,0.0,0.25,0.0,0,0.0,0.0,no_fusion,0,44,0,,1,,0.15,4.8507,0,12,0,12,1.5389,0.6343,0.1068,0.3285,4,0,105,0,0,5.125,1.2963,54.25,0,3.9416,1890,442,1448,0,2,4.276,0,,
false_negative,6,47,PASS,1.1214,0.0,0.25,0.0,0,0.0,0.0,no_fusion,0,46,0,,1,,0.05,4.5768,0,6,0,6,1.2899,0.6398,0.114,0.3318,4,0,97,0,0,4.25,1.2125,54.75,0,3.6934,1912,446,1466,0,2,4.287,0,,
false_negative,7,48,PASS,1.1998,0.0,0.25,0.0,0,0.0,0.0,no_fusion,0,46,0,,1,,0.113,4.6794,0,11,0,11,1.365,0.635,0.1181,0.3275,4,0,97,0,0,2.4286,1.3662,54.125,0,3.6039,1890,441,1449,0,2,4.2857,0,,
false_negative,8,49,PASS,1.27,0.0,0.25,0.0,0,0.0,0.0,no_fusion,0,63,0,,1,,0.125,4.803,0,17,0,17,1.4253,0.637,0.1204,0.3267,1,0,86,0,0,2.6,1.1467,87,0,2.717,1890,440,1450,0,2,4.2955,0,,
