time_step,uav_id,uav_x,uav_y,true_target_x,true_target_y,true_target_vx,true_target_vy,radar_id,true_range,true_bearing,true_radial_velocity,measured_range,measured_bearing,measured_radial_velocity,detected_x,detected_y,radar_confidence,radar_snr,radar_track_id,track_status,false_alarm_flag,missed_detection_flag,clutter_flag,dropout_flag,latency_steps,fusion_mode,fused_x,fused_y,action_taken,collision_risk_flag,near_miss_flag,unnecessary_avoidance_flag,missed_response_flag,mission_success_flag,formation_error
14,1,9.3949,19.0847,50.0,50.0,0.0,0.0,1,51.4327,0.6515,-1.9905,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6288
14,2,18.8464,9.6049,50.0,50.0,0.0,0.0,2,51.4125,0.91355,-1.9985,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6288
14,3,19.3572,19.1249,50.0,50.0,0.0,0.0,3,43.8998,0.78889,-1.999,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6288
15,0,9.6283,9.4203,50.0,50.0,0.0,0.0,0,57.6414,0.78779,-1.9994,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6115
15,1,9.6879,19.357,50.0,50.0,0.0,0.0,1,51.0346,0.65074,-1.9904,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6115
15,2,19.1029,9.9119,50.0,50.0,0.0,0.0,2,51.0128,0.91385,-1.9985,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6115
15,3,19.6477,19.3998,50.0,50.0,0.0,0.0,3,43.5,0.78918,-1.999,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6115
16,0,9.9176,9.6965,50.0,50.0,0.0,0.0,0,57.2415,0.78797,-1.9993,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.5943
16,1,9.9809,19.6293,50.0,50.0,0.0,0.0,1,50.6365,0.64996,-1.9902,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.5943
16,2,19.3593,10.2189,50.0,50.0,0.0,0.0,2,50.6131,0.91416,-1.9985,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.5943
16,3,19.9382,19.6748,50.0,50.0,0.0,0.0,3,43.1002,0.78946,-1.999,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.5943
17,0,10.2068,9.9728,50.0,50.0,0.0,0.0,0,56.8416,0.78815,-1.9993,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.5773
17,1,10.2739,19.9016,50.0,50.0,0.0,0.0,1,50.2385,0.64918,-1.9901,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.5773
17,2,19.6157,10.5259,50.0,50.0,0.0,0.0,2,50.2135,0.91447,-1.9984,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.5773
17,3,20.2287,19.9498,50.0,50.0,0.0,0.0,3,42.7004,0.78976,-1.999,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.5773
18,0,10.4961,10.2491,50.0,50.0,0.0,0.0,0,56.4418,0.78833,-1.9993,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.5605
18,1,10.5669,20.1739,50.0,50.0,0.0,0.0,1,49.8405,0.64838,-1.9899,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.5605
18,2,19.8721,10.8329,50.0,50.0,0.0,0.0,2,49.8138,0.91479,-1.9984,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.5605
18,3,20.5192,20.2248,50.0,50.0,0.0,0.0,3,42.3006,0.79006,-1.999,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.5605
