scenario,step,time_s,uav_id,x,y,actual_obstacle_x,actual_obstacle_y,perceived_obstacle_x,perceived_obstacle_y,actual_target_x,actual_target_y,perceived_target_x,perceived_target_y,error_type,action_taken,num_perceived_detections,num_phantom_detections,dist_to_target,nearest_entity_type,nearest_entity_distance,collision_risk_flag,unnecessary_avoidance_flag,missed_response_flag,reached_goal,mission_completed_flag
baseline,23,4.6,3,19.768,23.326,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,94.13,uav_1,12.031,False,False,False,False,False
baseline,24,4.8,0,12.841,7.783,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,115.526,uav_2,11.107,False,False,False,False,False
baseline,24,4.8,1,8.003,23.322,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,108.254,uav_3,11.986,False,False,False,False,False
baseline,24,4.8,2,23.783,9.696,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,101.586,uav_0,11.107,False,False,False,False,False
baseline,24,4.8,3,19.983,23.663,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,93.745,uav_1,11.986,False,False,False,False,False
baseline,25,5.0,0,13.106,8.084,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,115.127,uav_2,11.166,False,False,False,False,False
baseline,25,5.0,1,8.266,23.623,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,107.858,uav_3,11.94,False,False,False,False,False
baseline,25,5.0,2,24.122,9.908,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,101.211,uav_0,11.166,False,False,False,False,False
baseline,25,5.0,3,20.2,24.0,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,93.36,uav_1,11.94,False,False,False,False,False
baseline,26,5.2,0,13.365,8.388,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,114.728,uav_2,11.23,False,False,False,False,False
baseline,26,5.2,1,8.53,23.923,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,107.462,uav_3,11.894,False,False,False,False,False
baseline,26,5.2,2,24.461,10.12,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,100.836,uav_0,11.23,False,False,False,False,False
baseline,26,5.2,3,20.417,24.335,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,92.975,uav_1,11.894,False,False,False,False,False
baseline,27,5.4,0,13.621,8.695,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,114.329,uav_2,11.298,False,False,False,False,False
baseline,27,5.4,1,8.796,24.222,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,107.066,uav_3,11.848,False,False,False,False,False
baseline,27,5.4,2,24.8,10.332,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,100.461,uav_0,11.298,False,False,False,False,False
baseline,27,5.4,3,20.636,24.67,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,92.589,uav_1,11.848,False,False,False,False,False
