scenario,time_step,radar_id,track_id,est_x,est_y,est_vx,est_vy,confidence,age,missed_count,status
baseline,8,0,r0_t1,7.2637,16.9631,2.4686,2.9097,0.601,9,0,confirmed
baseline,8,0,r0_t2,16.6861,7.4336,2.2579,3.4342,0.61,9,0,confirmed
baseline,8,0,r0_t3,17.3024,16.8611,2.2687,0.4255,0.434,9,0,confirmed
baseline,8,1,r1_t1,7.1229,7.2123,3.2794,2.8389,0.601,9,0,confirmed
baseline,8,1,r1_t2,16.4805,7.3201,2.4402,3.1955,0.45,9,0,confirmed
baseline,8,1,r1_t3,17.0041,16.9955,2.626,2.3921,0.601,9,0,confirmed
baseline,8,2,r2_t1,7.5561,7.1481,4.0094,2.65,0.61,9,0,confirmed
baseline,8,2,r2_t2,6.8271,17.0237,1.6611,2.714,0.45,9,0,confirmed
baseline,8,2,r2_t3,17.2621,16.8334,3.862,2.5329,0.61,9,0,confirmed
baseline,8,3,r3_t1,6.8948,6.9761,1.5449,2.9915,0.434,9,0,confirmed
baseline,8,3,r3_t2,7.3874,16.6017,3.6973,0.7957,0.601,9,0,confirmed
baseline,8,3,r3_t3,17.2914,7.3227,3.16,3.7029,0.61,9,0,confirmed
baseline,9,0,r0_t1,7.765,17.2969,3.323,2.8456,0.601,10,0,confirmed
baseline,9,0,r0_t2,17.283,7.9448,3.616,3.847,0.612,10,0,confirmed
baseline,9,0,r0_t3,17.496,17.5694,1.9408,3.1644,0.434,10,0,confirmed
baseline,9,1,r1_t1,7.4933,7.7806,3.1832,3.7874,0.601,10,0,confirmed
baseline,9,1,r1_t2,16.9675,7.7838,3.2494,3.5301,0.452,10,0,confirmed
baseline,9,1,r1_t3,17.2173,17.3815,2.2016,2.8043,0.601,10,0,confirmed
baseline,9,2,r2_t1,7.3187,7.273,1.0154,1.8454,0.612,10,0,confirmed
baseline,9,2,r2_t2,7.1333,17.3967,2.1065,2.9113,0.452,10,0,confirmed
baseline,9,2,r2_t3,17.7012,17.2489,3.7605,2.9978,0.611,10,0,confirmed
