scenario,metric,n,mean,median,stdev,ci95_halfwidth,ci95_lower,ci95_upper
sensor_noise,average_covariance,20,2.1676,2.1569,0.0244,0.0107,2.1569,2.1783
sensor_noise,messages_sent,20,1910.6,1914.0,13.0924,5.738,1904.862,1916.338
sensor_noise,messages_received,20,441.4,443.5,6.6443,2.912,438.488,444.312
sensor_noise,messages_dropped,20,1469.2,1471.0,6.9328,3.0384,1466.1616,1472.2384
sensor_noise,stale_messages,20,0,0.0,0.0,0.0,0.0,0.0
sensor_noise,avg_message_delay_steps,20,2,2.0,0.0,0.0,2.0,2.0
sensor_noise,communication_load,20,4.329,4.3175,0.0378,0.0166,4.3125,4.3456
sensor_noise,max_outage_duration_steps,20,0,0.0,0.0,0.0,0.0,0.0
sensor_noise,avg_recovery_time_steps,0,,,,,,
latency,collision_count,20,0,0.0,0.0,0.0,0.0,0.0
latency,total_near_misses,20,42.25,42.5,2.6532,1.1628,41.0872,43.4128
latency,collision_risk_count,20,0,0.0,0.0,0.0,0.0,0.0
latency,minimum_separation,0,,,,,,
latency,mission_success,20,1,1.0,0.0,0.0,1.0,1.0
latency,mission_completion_time_s,0,,,,,,
latency,avg_response_time_s,20,1.0012,1.0,0.0037,0.0016,0.9996,1.0028
latency,formation_error_rmse,20,4.8969,4.9016,0.1729,0.0758,4.8211,4.9727
latency,unnecessary_avoidance_count,20,0,0.0,0.0,0.0,0.0,0.0
latency,missed_response_count,20,0,0.0,0.0,0.0,0.0,0.0
latency,hold_duration,20,0,0.0,0.0,0.0,0.0,0.0
latency,wrong_decisions,20,0,0.0,0.0,0.0,0.0,0.0
latency,swarm_stability,20,1.528,1.531,0.1463,0.0641,1.4639,1.5921
latency,rmse_position_error,20,0.6088,0.6047,0.017,0.0074,0.6014,0.6163
latency,velocity_rmse,20,0.1148,0.1145,0.0041,0.0018,0.113,0.1166
latency,track_continuity,20,0.3359,0.3359,0.0018,0.0008,0.3351,0.3367
latency,track_fragmentation,20,0.05,0.0,0.2236,0.098,-0.048,0.148
latency,false_detections,20,0,0.0,0.0,0.0,0.0,0.0
latency,missed_detections,20,0.95,1.0,0.9987,0.4377,0.5123,1.3877
latency,false_tracks,20,0,0.0,0.0,0.0,0.0,0.0
latency,missed_tracks,20,0,0.0,0.0,0.0,0.0,0.0
latency,track_confirmation_time_steps,20,2,2.0,0.0,0.0,2.0,2.0
latency,track_loss_duration_steps,11,1,1,0.0,0.0,1.0,1.0
latency,average_track_lifetime_steps,20,110.04,111.25,4.8164,2.1109,107.9291,112.1509
latency,association_errors,20,0,0.0,0.0,0.0,0.0,0.0
latency,average_covariance,20,2.166,2.1442,0.0945,0.0414,2.1246,2.2074
latency,messages_sent,20,1929.9,1930.0,8.7413,3.831,1926.069,1933.731
latency,messages_received,20,448.7,449.0,3.0967,1.3572,447.3428,450.0572
latency,messages_dropped,20,1481.2,1481.0,5.8544,2.5658,1478.6342,1483.7658
latency,stale_messages,20,0,0.0,0.0,0.0,0.0,0.0
latency,avg_message_delay_steps,20,2,2.0,0.0,0.0,2.0,2.0
latency,communication_load,20,4.3011,4.2984,0.0125,0.0055,4.2957,4.3066
latency,max_outage_duration_steps,20,0,0.0,0.0,0.0,0.0,0.0
latency,avg_recovery_time_steps,0,,,,,,
sensor_dropout,collision_count,20,0,0.0,0.0,0.0,0.0,0.0
sensor_dropout,total_near_misses,20,53.05,50.0,15.8196,6.9333,46.1167,59.9833
sensor_dropout,collision_risk_count,20,0,0.0,0.0,0.0,0.0,0.0
sensor_dropout,minimum_separation,0,,,,,,
sensor_dropout,mission_success,20,1,1.0,0.0,0.0,1.0,1.0
sensor_dropout,mission_completion_time_s,0,,,,,,
sensor_dropout,avg_response_time_s,20,0.072,0.013,0.1138,0.0499,0.0221,0.1219
sensor_dropout,formation_error_rmse,20,4.4406,4.4379,0.3505,0.1536,4.287,4.5942
sensor_dropout,unnecessary_avoidance_count,20,0,0.0,0.0,0.0,0.0,0.0
sensor_dropout,missed_response_count,20,12.55,14.0,7.4867,3.2812,9.2688,15.8312
sensor_dropout,hold_duration,20,0,0.0,0.0,0.0,0.0,0.0
sensor_dropout,wrong_decisions,20,12.55,14.0,7.4867,3.2812,9.2688,15.8312
sensor_dropout,swarm_stability,20,1.1742,1.1899,0.2727,0.1195,1.0546,1.2937
sensor_dropout,rmse_position_error,20,0.6067,0.6076,0.0116,0.0051,0.6016,0.6117
sensor_dropout,velocity_rmse,20,0.1159,0.1169,0.0049,0.0022,0.1137,0.118
sensor_dropout,track_continuity,20,0.3062,0.305,0.0101,0.0044,0.3017,0.3106
sensor_dropout,track_fragmentation,20,6.7,7.0,2.4942,1.0931,5.6069,7.7931
sensor_dropout,false_detections,20,0,0.0,0.0,0.0,0.0,0.0
sensor_dropout,missed_detections,20,58.6,63.0,19.9035,8.7231,49.8769,67.3231
sensor_dropout,false_tracks,20,0,0.0,0.0,0.0,0.0,0.0
sensor_dropout,missed_tracks,20,0,0.0,0.0,0.0,0.0,0.0
sensor_dropout,track_confirmation_time_steps,20,2.0236,2.0,0.0737,0.0323,1.9913,2.0559
sensor_dropout,track_loss_duration_steps,20,6.7754,6.7166,0.8691,0.3809,6.3945,7.1563
sensor_dropout,average_track_lifetime_steps,20,40.4482,36.8636,10.5502,4.6238,35.8244,45.072
sensor_dropout,association_errors,20,0,0.0,0.0,0.0,0.0,0.0
sensor_dropout,average_covariance,20,4.6389,4.5388,1.0342,0.4533,4.1856,5.0921
sensor_dropout,messages_sent,20,1750.9,1736.0,58.9611,25.8408,1725.0592,1776.7408
sensor_dropout,messages_received,20,419.35,418.5,8.7074,3.8162,415.5338,423.1662
sensor_dropout,messages_dropped,20,1331.55,1320.0,51.8708,22.7334,1308.8166,1354.2834
sensor_dropout,stale_messages,20,0,0.0,0.0,0.0,0.0,0.0
sensor_dropout,avg_message_delay_steps,20,2,2.0,0.0,0.0,2.0,2.0
sensor_dropout,communication_load,20,4.1747,4.165,0.0827,0.0363,4.1384,4.2109
sensor_dropout,max_outage_duration_steps,20,0,0.0,0.0,0.0,0.0,0.0
sensor_dropout,avg_recovery_time_steps,0,,,,,,
confidence_error,collision_count,20,0,0.0,0.0,0.0,0.0,0.0
confidence_error,total_near_misses,20,53,50.0,7.5672,3.3165,49.6835,56.3165
confidence_error,collision_risk_count,20,0,0.0,0.0,0.0,0.0,0.0
confidence_error,minimum_separation,0,,,,,,
confidence_error,mission_success,20,1,1.0,0.0,0.0,1.0,1.0
confidence_error,mission_completion_time_s,0,,,,,,
confidence_error,avg_response_time_s,20,0.0013,0.0,0.004,0.0018,-0.0005,0.0031
confidence_error,formation_error_rmse,20,4.5556,4.6957,0.2719,0.1192,4.4364,4.6748
confidence_error,unnecessary_avoidance_count,20,0,0.0,0.0,0.0,0.0,0.0
confidence_error,missed_response_count,20,0,0.0,0.0,0.0,0.0,0.0
confidence_error,hold_duration,20,0,0.0,0.0,0.0,0.0,0.0
confidence_error,wrong_decisions,20,0,0.0,0.0,0.0,0.0,0.0
confidence_error,swarm_stability,20,1.2287,1.347,0.242,0.1061,1.1226,1.3347
confidence_error,rmse_position_error,20,0.6249,0.6248,0.0097,0.0042,0.6206,0.6291
confidence_error,velocity_rmse,20,0.1153,0.1155,0.0033,0.0015,0.1139,0.1168
confidence_error,track_continuity,20,0.3305,0.3316,0.0039,0.0017,0.3288,0.3322
confidence_error,track_fragmentation,20,0,0.0,0.0,0.0,0.0,0.0
confidence_error,false_detections,20,0,0.0,0.0,0.0,0.0,0.0
confidence_error,missed_detections,20,0.9,1.0,0.7881,0.3454,0.5546,1.2454
confidence_error,false_tracks,20,0,0.0,0.0,0.0,0.0,0.0
confidence_error,missed_tracks,20,0,0.0,0.0,0.0,0.0,0.0
confidence_error,track_confirmation_time_steps,20,2.075,2.0,0.2308,0.1012,1.9738,2.1762
confidence_error,track_loss_duration_steps,14,1,1.0,0.0,0.0,1.0,1.0
confidence_error,average_track_lifetime_steps,20,109.35,109.875,1.6611,0.728,108.622,110.078
confidence_error,association_errors,20,0,0.0,0.0,0.0,0.0,0.0
confidence_error,average_covariance,20,2.1676,2.1569,0.0244,0.0107,2.1569,2.1783
confidence_error,messages_sent,20,1910.6,1914.0,13.0924,5.738,1904.862,1916.338
confidence_error,messages_received,20,441.4,443.5,6.6443,2.912,438.488,444.312
confidence_error,messages_dropped,20,1469.2,1471.0,6.9328,3.0384,1466.1616,1472.2384
confidence_error,stale_messages,20,0,0.0,0.0,0.0,0.0,0.0
confidence_error,avg_message_delay_steps,20,2,2.0,0.0,0.0,2.0,2.0
confidence_error,communication_load,20,4.329,4.3175,0.0378,0.0166,4.3125,4.3456
confidence_error,max_outage_duration_steps,20,0,0.0,0.0,0.0,0.0,0.0
confidence_error,avg_recovery_time_steps,0,,,,,,
no_fusion_matched,collision_count,20,0,0.0,0.0,0.0,0.0,0.0
no_fusion_matched,total_near_misses,20,53.1,52.0,5.6092,2.4583,50.6417,55.5583
no_fusion_matched,collision_risk_count,20,0,0.0,0.0,0.0,0.0,0.0
no_fusion_matched,minimum_separation,0,,,,,,
no_fusion_matched,mission_success,20,1,1.0,0.0,0.0,1.0,1.0
no_fusion_matched,mission_completion_time_s,0,,,,,,
no_fusion_matched,avg_response_time_s,20,0.0432,0.038,0.0234,0.0102,0.033,0.0535
no_fusion_matched,formation_error_rmse,20,4.4776,4.4688,0.2979,0.1305,4.347,4.6081
no_fusion_matched,unnecessary_avoidance_count,20,0,0.0,0.0,0.0,0.0,0.0
no_fusion_matched,missed_response_count,20,10.45,10.5,2.781,1.2188,9.2312,11.6688
no_fusion_matched,hold_duration,20,0,0.0,0.0,0.0,0.0,0.0
no_fusion_matched,wrong_decisions,20,10.45,10.5,2.781,1.2188,9.2312,11.6688
no_fusion_matched,swarm_stability,20,1.1678,1.1772,0.2638,0.1156,1.0522,1.2834
no_fusion_matched,rmse_position_error,20,0.6253,0.6318,0.02,0.0088,0.6165,0.6341
no_fusion_matched,velocity_rmse,20,0.1154,0.1156,0.0052,0.0023,0.1132,0.1177
no_fusion_matched,track_continuity,20,0.3276,0.3277,0.0035,0.0015,0.3261,0.3292
no_fusion_matched,track_fragmentation,20,2.65,2.0,1.1367,0.4982,2.1518,3.1482
no_fusion_matched,false_detections,20,0,0.0,0.0,0.0,0.0,0.0
no_fusion_matched,missed_detections,20,84.95,84.0,6.1257,2.6847,82.2653,87.6347
no_fusion_matched,false_tracks,20,0,0.0,0.0,0.0,0.0,0.0
no_fusion_matched,missed_tracks,20,0,0.0,0.0,0.0,0.0,0.0
no_fusion_matched,track_confirmation_time_steps,20,3.1558,2.8333,1.0798,0.4732,2.6826,3.629
no_fusion_matched,track_loss_duration_steps,20,1.2473,1.243,0.0553,0.0243,1.223,1.2715
no_fusion_matched,average_track_lifetime_steps,20,66.8534,71.25,10.9948,4.8187,62.0347,71.6721
no_fusion_matched,association_errors,20,0,0.0,0.0,0.0,0.0,0.0
no_fusion_matched,average_covariance,20,3.3114,3.2645,0.4128,0.1809,3.1304,3.4923
no_fusion_matched,messages_sent,20,1900.5,1902.0,11.9802,5.2506,1895.2494,1905.7506
no_fusion_matched,messages_received,20,439.6,441.0,5.3252,2.3339,437.2661,441.9339
no_fusion_matched,messages_dropped,20,1460.9,1461.5,7.9796,3.4972,1457.4028,1464.3972
no_fusion_matched,stale_messages,20,0,0.0,0.0,0.0,0.0,0.0
no_fusion_matched,avg_message_delay_steps,20,2,2.0,0.0,0.0,2.0,2.0
no_fusion_matched,communication_load,20,4.3236,4.3171,0.0329,0.0144,4.3091,4.338
no_fusion_matched,max_outage_duration_steps,20,0,0.0,0.0,0.0,0.0,0.0
no_fusion_matched,avg_recovery_time_steps,0,,,,,,
naive_fusion,collision_count,20,0,0.0,0.0,0.0,0.0,0.0
naive_fusion,total_near_misses,20,51.3,50.0,6.9441,3.0434,48.2566,54.3434
naive_fusion,collision_risk_count,20,0,0.0,0.0,0.0,0.0,0.0
naive_fusion,minimum_separation,0,,,,,,
naive_fusion,mission_success,20,1,1.0,0.0,0.0,1.0,1.0
naive_fusion,mission_completion_time_s,0,,,,,,
naive_fusion,avg_response_time_s,20,0.0432,0.038,0.0234,0.0102,0.033,0.0535
naive_fusion,formation_error_rmse,20,4.5835,4.7047,0.2787,0.1222,4.4614,4.7057
naive_fusion,unnecessary_avoidance_count,20,0,0.0,0.0,0.0,0.0,0.0
naive_fusion,missed_response_count,20,9.95,9.5,2.2589,0.99,8.96,10.94
naive_fusion,hold_duration,20,0,0.0,0.0,0.0,0.0,0.0
naive_fusion,wrong_decisions,20,9.95,9.5,2.2589,0.99,8.96,10.94
naive_fusion,swarm_stability,20,1.264,1.3541,0.2504,0.1097,1.1543,1.3737
naive_fusion,rmse_position_error,20,0.6254,0.6301,0.0216,0.0095,0.6159,0.6349
naive_fusion,velocity_rmse,20,0.1172,0.1176,0.0041,0.0018,0.1154,0.119
naive_fusion,track_continuity,20,0.3285,0.3293,0.0045,0.002,0.3265,0.3305
naive_fusion,track_fragmentation,20,2.15,2.0,1.4609,0.6403,1.5097,2.7903
naive_fusion,false_detections,20,0,0.0,0.0,0.0,0.0,0.0
naive_fusion,missed_detections,20,84.6,83.5,8.0223,3.5159,81.0841,88.1159
naive_fusion,false_tracks,20,0,0.0,0.0,0.0,0.0,0.0
naive_fusion,missed_tracks,20,0,0.0,0.0,0.0,0.0,0.0
naive_fusion,track_confirmation_time_steps,20,3.3301,2.9166,1.1639,0.5101,2.82,3.8402
naive_fusion,track_loss_duration_steps,20,1.2387,1.2462,0.0503,0.022,1.2167,1.2608
naive_fusion,average_track_lifetime_steps,20,74.5581,73.0833,17.722,7.767,66.7911,82.3251
naive_fusion,association_errors,20,0,0.0,0.0,0.0,0.0,0.0
naive_fusion,average_covariance,20,3.1402,3.1341,0.5256,0.2304,2.9099,3.3706
naive_fusion,messages_sent,20,1904.2,1904.0,13.4697,5.9033,1898.2967,1910.1033
naive_fusion,messages_received,20,1463.35,1462.5,8.2925,3.6344,1459.7156,1466.9844
naive_fusion,messages_dropped,20,440.85,443.0,6.1411,2.6915,438.1585,443.5415
naive_fusion,stale_messages,20,0,0.0,0.0,0.0,0.0,0.0
naive_fusion,avg_message_delay_steps,20,2,2.0,0.0,0.0,2.0,2.0
naive_fusion,communication_load,20,4.3198,4.3108,0.0353,0.0155,4.3044,4.3353
naive_fusion,max_outage_duration_steps,20,0,0.0,0.0,0.0,0.0,0.0
naive_fusion,avg_recovery_time_steps,0,,,,,,
trust_weighted_fusion,collision_count,20,0,0.0,0.0,0.0,0.0,0.0
trust_weighted_fusion,total_near_misses,20,51.95,50.5,9.3329,4.0903,47.8597,56.0403
trust_weighted_fusion,collision_risk_count,20,0,0.0,0.0,0.0,0.0,0.0
trust_weighted_fusion,minimum_separation,0,,,,,,
trust_weighted_fusion,mission_success,20,1,1.0,0.0,0.0,1.0,1.0
trust_weighted_fusion,mission_completion_time_s,0,,,,,,
trust_weighted_fusion,avg_response_time_s,20,0.0432,0.038,0.0234,0.0102,0.033,0.0535
trust_weighted_fusion,formation_error_rmse,20,4.5364,4.6026,0.2641,0.1157,4.4207,4.6522
trust_weighted_fusion,unnecessary_avoidance_count,20,0,0.0,0.0,0.0,0.0,0.0
trust_weighted_fusion,missed_response_count,20,10.65,10.0,4.1457,1.8169,8.8331,12.4669
trust_weighted_fusion,hold_duration,20,0,0.0,0.0,0.0,0.0,0.0
trust_weighted_fusion,wrong_decisions,20,10.65,10.0,4.1457,1.8169,8.8331,12.4669
trust_weighted_fusion,swarm_stability,20,1.2236,1.2828,0.2377,0.1042,1.1194,1.3278
trust_weighted_fusion,rmse_position_error,20,0.625,0.6279,0.0207,0.0091,0.616,0.6341
trust_weighted_fusion,velocity_rmse,20,0.1165,0.1163,0.0035,0.0015,0.115,0.1181
trust_weighted_fusion,track_continuity,20,0.3281,0.3295,0.0047,0.0021,0.326,0.3302
trust_weighted_fusion,track_fragmentation,20,2.3,2.0,1.3803,0.6049,1.6951,2.9049
trust_weighted_fusion,false_detections,20,0,0.0,0.0,0.0,0.0,0.0
trust_weighted_fusion,missed_detections,20,86.8,85.0,7.3599,3.2256,83.5744,90.0256
trust_weighted_fusion,false_tracks,20,0,0.0,0.0,0.0,0.0,0.0
trust_weighted_fusion,missed_tracks,20,0,0.0,0.0,0.0,0.0,0.0
trust_weighted_fusion,track_confirmation_time_steps,20,3.3358,3.0,1.1527,0.5052,2.8306,3.841
