scenario,step,time_s,uav_id,x,y,num_perceived_detections,num_phantom_detections,dist_to_target,reached_goal,event
baseline,31,6.2,0,14.365,9.637,1,0,113.137,False,avoidance
baseline,31,6.2,1,9.6,25.113,1,0,105.875,False,avoidance
baseline,31,6.2,2,25.672,11.141,2,0,99.288,False,avoidance
baseline,31,6.2,3,21.474,25.512,2,0,91.404,False,avoidance
baseline,32,6.4,0,14.611,9.952,1,0,112.74,False,avoidance
baseline,32,6.4,1,9.867,25.411,1,0,105.479,False,avoidance
baseline,32,6.4,2,26.012,11.352,1,0,98.914,False,avoidance
baseline,32,6.4,3,21.694,25.846,1,0,91.018,False,avoidance
baseline,33,6.6,0,14.853,10.271,1,0,112.343,False,avoidance
baseline,33,6.6,1,10.135,25.708,1,0,105.082,False,avoidance
baseline,33,6.6,2,26.279,11.65,1,0,98.516,False,avoidance
baseline,33,6.6,3,22.004,26.099,1,0,90.618,False,avoidance
baseline,34,6.8,0,15.094,10.59,1,0,111.947,False,avoidance
baseline,34,6.8,1,10.402,26.005,1,0,104.686,False,avoidance
baseline,34,6.8,2,26.547,11.947,1,0,98.117,False,avoidance
baseline,34,6.8,3,22.314,26.352,1,0,90.218,False,avoidance
baseline,35,7.0,0,15.335,10.909,1,0,111.551,False,avoidance
baseline,35,7.0,1,10.668,26.304,1,0,104.289,False,avoidance
baseline,35,7.0,2,26.814,12.244,2,0,97.718,False,avoidance
baseline,35,7.0,3,22.624,26.604,2,0,89.818,False,avoidance
baseline,36,7.2,0,15.575,11.229,1,0,111.154,False,avoidance
baseline,36,7.2,1,10.933,26.603,1,0,103.893,False,avoidance
baseline,36,7.2,2,27.155,12.453,1,0,97.346,False,avoidance
baseline,36,7.2,3,22.845,26.937,1,0,89.432,False,avoidance
baseline,37,7.4,0,15.812,11.552,1,0,110.759,False,avoidance
baseline,37,7.4,1,11.2,26.902,1,0,103.497,False,avoidance
baseline,37,7.4,2,27.424,12.75,1,0,96.947,False,avoidance
baseline,37,7.4,3,23.156,27.189,1,0,89.033,False,avoidance
baseline,38,7.6,0,16.048,11.875,1,0,110.364,False,avoidance
baseline,38,7.6,1,11.465,27.201,1,0,103.101,False,avoidance
baseline,38,7.6,2,27.693,13.046,1,0,96.549,False,avoidance
baseline,38,7.6,3,23.467,27.441,1,0,88.633,False,avoidance
baseline,39,7.8,0,16.283,12.198,1,0,109.968,False,avoidance
baseline,39,7.8,1,11.73,27.501,1,0,102.705,False,avoidance
baseline,39,7.8,2,27.962,13.342,2,0,96.15,False,avoidance
baseline,39,7.8,3,23.778,27.692,2,0,88.233,False,avoidance
baseline,40,8.0,0,16.518,12.522,1,0,109.573,False,avoidance
baseline,40,8.0,1,11.994,27.802,1,0,102.309,False,avoidance
baseline,40,8.0,2,28.304,13.549,1,0,95.779,False,avoidance
baseline,40,8.0,3,24.0,28.025,1,0,87.847,False,avoidance
baseline,41,8.2,0,16.749,12.848,1,0,109.179,False,avoidance
baseline,41,8.2,1,12.258,28.102,1,0,101.914,False,avoidance
baseline,41,8.2,2,28.574,13.844,1,0,95.381,False,avoidance
baseline,41,8.2,3,24.312,28.276,1,0,87.447,False,avoidance
baseline,42,8.4,0,16.98,13.175,1,0,108.785,False,avoidance
baseline,42,8.4,1,12.522,28.402,1,0,101.518,False,avoidance
baseline,42,8.4,2,28.844,14.139,2,0,94.982,False,avoidance
baseline,42,8.4,3,24.623,28.527,2,0,87.048,False,avoidance
baseline,43,8.6,0,17.211,13.502,1,0,108.391,False,avoidance
baseline,43,8.6,1,12.785,28.704,1,0,101.122,False,avoidance
baseline,43,8.6,2,29.187,14.345,1,0,94.612,False,avoidance
baseline,43,8.6,3,24.846,28.859,1,0,86.661,False,avoidance
baseline,44,8.8,0,17.438,13.831,1,0,107.998,False,avoidance
baseline,44,8.8,1,13.049,29.004,1,0,100.727,False,avoidance
baseline,44,8.8,2,29.458,14.639,1,0,94.214,False,avoidance
baseline,44,8.8,3,25.158,29.109,1,0,86.261,False,avoidance
baseline,45,9.0,0,17.664,14.161,1,0,107.605,False,avoidance
baseline,45,9.0,1,13.312,29.305,1,0,100.331,False,avoidance
baseline,45,9.0,2,29.73,14.933,1,0,93.816,False,avoidance
baseline,45,9.0,3,25.471,29.359,1,0,85.862,False,avoidance
baseline,46,9.2,0,17.891,14.491,1,0,107.212,False,avoidance
baseline,46,9.2,1,13.574,29.608,1,0,99.936,False,avoidance
baseline,46,9.2,2,30.001,15.227,2,0,93.418,False,avoidance
baseline,46,9.2,3,25.784,29.608,2,0,85.462,False,avoidance
baseline,47,9.4,0,18.117,14.821,1,0,106.819,False,avoidance
baseline,47,9.4,1,13.836,29.91,1,0,99.541,False,avoidance
baseline,47,9.4,2,30.346,15.43,1,0,93.049,False,avoidance
baseline,47,9.4,3,26.007,29.939,1,0,85.076,False,avoidance
baseline,48,9.6,0,18.34,15.153,1,0,106.427,False,avoidance
baseline,48,9.6,1,14.098,30.212,1,0,99.146,False,avoidance
baseline,48,9.6,2,30.618,15.723,1,0,92.651,False,avoidance
baseline,48,9.6,3,26.32,30.188,1,0,84.676,False,avoidance
baseline,49,9.8,0,18.562,15.485,1,0,106.035,False,avoidance
baseline,49,9.8,1,14.36,30.515,1,0,98.751,False,avoidance
baseline,49,9.8,2,30.891,16.015,1,0,92.254,False,avoidance
baseline,49,9.8,3,26.634,30.437,1,0,84.277,False,avoidance
baseline,50,10.0,0,18.785,15.817,1,0,105.643,False,avoidance
baseline,50,10.0,1,14.62,30.818,1,0,98.357,False,avoidance
baseline,50,10.0,2,31.164,16.308,2,0,91.856,False,avoidance
baseline,50,10.0,3,26.948,30.685,2,0,83.877,False,avoidance
baseline,51,10.2,0,19.007,16.15,1,0,105.251,False,avoidance
baseline,51,10.2,1,14.88,31.122,1,0,97.962,False,avoidance
baseline,51,10.2,2,31.509,16.509,1,0,91.489,False,avoidance
baseline,51,10.2,3,27.172,31.016,1,0,83.49,False,avoidance
baseline,52,10.4,0,19.227,16.484,1,0,104.86,False,avoidance
baseline,52,10.4,1,15.141,31.426,1,0,97.567,False,avoidance
baseline,52,10.4,2,31.783,16.801,1,0,91.091,False,avoidance
baseline,52,10.4,3,27.486,31.263,1,0,83.091,False,avoidance
baseline,53,10.6,0,19.447,16.818,1,0,104.469,False,avoidance
baseline,53,10.6,1,15.401,31.729,1,0,97.173,False,avoidance
baseline,53,10.6,2,32.057,17.092,1,0,90.694,False,avoidance
baseline,53,10.6,3,27.801,31.511,1,0,82.691,False,avoidance
baseline,54,10.8,0,19.666,17.153,1,0,104.078,False,avoidance
baseline,54,10.8,1,15.661,32.034,1,0,96.779,False,avoidance
baseline,54,10.8,2,32.331,17.384,2,0,90.297,False,avoidance
baseline,54,10.8,3,28.116,31.757,2,0,82.292,False,avoidance
baseline,55,11.0,0,19.885,17.487,1,0,103.687,False,avoidance
baseline,55,11.0,1,15.919,32.339,1,0,96.385,False,avoidance
baseline,55,11.0,2,32.678,17.582,1,0,89.931,False,avoidance
baseline,55,11.0,3,28.341,32.088,1,0,81.905,False,avoidance
baseline,56,11.2,0,20.103,17.823,1,0,103.297,False,avoidance
baseline,56,11.2,1,16.179,32.644,1,0,95.991,False,avoidance
baseline,56,11.2,2,32.953,17.873,1,0,89.534,False,avoidance
baseline,56,11.2,3,28.656,32.334,1,0,81.505,False,avoidance
baseline,57,11.4,0,20.32,18.159,1,0,102.907,False,avoidance
baseline,57,11.4,1,16.437,32.949,1,0,95.597,False,avoidance
baseline,57,11.4,2,33.227,18.164,1,0,89.137,False,avoidance
baseline,57,11.4,3,28.972,32.58,1,0,81.106,False,avoidance
baseline,58,11.6,0,20.538,18.494,1,0,102.517,False,avoidance
baseline,58,11.6,1,16.695,33.254,1,0,95.203,False,avoidance
baseline,58,11.6,2,33.503,18.454,2,0,88.74,False,avoidance
baseline,58,11.6,3,29.288,32.825,2,0,80.706,False,avoidance
baseline,59,11.8,0,20.755,18.83,1,0,102.127,False,avoidance
baseline,59,11.8,1,16.953,33.561,1,0,94.809,False,avoidance
baseline,59,11.8,2,33.851,18.651,1,0,88.375,False,avoidance
baseline,59,11.8,3,29.514,33.155,1,0,80.319,False,avoidance
baseline,60,12.0,0,20.971,19.167,1,0,101.738,False,avoidance
baseline,60,12.0,1,17.211,33.866,1,0,94.416,False,avoidance
baseline,60,12.0,2,34.127,18.941,1,0,87.979,False,avoidance
baseline,60,12.0,3,29.83,33.4,1,0,79.92,False,avoidance
baseline,61,12.2,0,21.187,19.504,1,0,101.348,False,avoidance
baseline,61,12.2,1,17.469,34.172,1,0,94.022,False,avoidance
baseline,61,12.2,2,34.402,19.23,1,0,87.582,False,avoidance
baseline,61,12.2,3,30.147,33.645,1,0,79.52,False,avoidance
baseline,62,12.4,0,21.403,19.84,1,0,100.959,False,avoidance
baseline,62,12.4,1,17.726,34.479,1,0,93.629,False,avoidance
baseline,62,12.4,2,34.678,19.52,2,0,87.186,False,avoidance
baseline,62,12.4,3,30.464,33.889,2,0,79.121,False,avoidance
baseline,63,12.6,0,21.619,20.177,1,0,100.57,False,avoidance
baseline,63,12.6,1,17.982,34.786,1,0,93.236,False,avoidance
baseline,63,12.6,2,35.028,19.715,1,0,86.823,False,avoidance
baseline,63,12.6,3,30.691,34.218,1,0,78.734,False,avoidance
baseline,64,12.8,0,21.834,20.514,1,0,100.181,False,avoidance
baseline,64,12.8,1,18.239,35.092,1,0,92.843,False,avoidance
baseline,64,12.8,2,35.304,20.004,1,0,86.426,False,avoidance
baseline,64,12.8,3,31.008,34.462,1,0,78.334,False,avoidance
baseline,65,13.0,0,22.05,20.851,2,0,99.792,False,avoidance
baseline,65,13.0,1,18.496,35.399,2,0,92.45,False,avoidance
baseline,65,13.0,2,35.581,20.293,1,0,86.03,False,avoidance
baseline,65,13.0,3,31.326,34.705,1,0,77.935,False,avoidance
baseline,66,13.2,0,22.445,20.909,1,0,99.467,False,avoidance
baseline,66,13.2,1,18.458,35.797,1,0,92.227,False,avoidance
baseline,66,13.2,2,35.857,20.582,2,0,85.634,False,avoidance
baseline,66,13.2,3,31.643,34.947,2,0,77.536,False,avoidance
baseline,67,13.4,0,22.664,21.244,1,0,99.077,False,avoidance
baseline,67,13.4,1,18.716,36.102,1,0,91.834,False,avoidance
baseline,67,13.4,2,36.206,20.777,1,0,85.271,False,avoidance
baseline,67,13.4,3,31.871,35.277,1,0,77.148,False,avoidance
baseline,68,13.6,0,22.88,21.58,1,0,98.688,False,avoidance
baseline,68,13.6,1,18.975,36.407,1,0,91.441,False,avoidance
baseline,68,13.6,2,36.482,21.067,1,0,84.875,False,avoidance
baseline,68,13.6,3,32.189,35.519,1,0,76.749,False,avoidance
baseline,69,13.8,0,23.098,21.916,1,0,98.298,False,avoidance
baseline,69,13.8,1,19.234,36.712,1,0,91.048,False,avoidance
baseline,69,13.8,2,36.757,21.357,1,0,84.479,False,avoidance
baseline,69,13.8,3,32.508,35.76,1,0,76.35,False,avoidance
baseline,70,14.0,0,23.315,22.252,1,0,97.909,False,avoidance
baseline,70,14.0,1,19.493,37.017,1,0,90.655,False,avoidance
baseline,70,14.0,2,37.033,21.647,2,0,84.083,False,avoidance
baseline,70,14.0,3,32.827,36.001,2,0,75.951,False,avoidance
baseline,71,14.2,0,23.533,22.587,1,0,97.52,False,avoidance
baseline,71,14.2,1,19.751,37.323,1,0,90.262,False,avoidance
baseline,71,14.2,2,37.383,21.841,1,0,83.722,False,avoidance
baseline,71,14.2,3,33.055,36.33,1,0,75.563,False,avoidance
baseline,72,14.4,0,23.75,22.924,1,0,97.131,False,avoidance
baseline,72,14.4,1,20.009,37.628,1,0,89.869,False,avoidance
baseline,72,14.4,2,37.659,22.13,1,0,83.326,False,avoidance
baseline,72,14.4,3,33.374,36.571,1,0,75.164,False,avoidance
baseline,73,14.6,0,23.967,23.259,1,0,96.742,False,avoidance
baseline,73,14.6,1,20.268,37.933,1,0,89.477,False,avoidance
baseline,73,14.6,2,37.935,22.42,1,0,82.93,False,avoidance
baseline,73,14.6,3,33.694,36.812,1,0,74.766,False,avoidance
baseline,74,14.8,0,24.184,23.595,1,0,96.353,False,avoidance
baseline,74,14.8,1,20.526,38.239,1,0,89.084,False,avoidance
baseline,74,14.8,2,38.211,22.709,2,0,82.534,False,avoidance
baseline,74,14.8,3,34.014,37.052,2,0,74.367,False,avoidance
baseline,75,15.0,0,24.402,23.931,1,0,95.964,False,avoidance
baseline,75,15.0,1,20.784,38.545,1,0,88.691,False,avoidance
baseline,75,15.0,2,38.562,22.901,1,0,82.174,False,avoidance
baseline,75,15.0,3,34.242,37.38,1,0,73.979,False,avoidance
baseline,76,15.2,0,24.619,24.267,1,0,95.575,False,avoidance
baseline,76,15.2,1,21.043,38.85,1,0,88.299,False,avoidance
baseline,76,15.2,2,38.838,23.19,1,0,81.779,False,avoidance
baseline,76,15.2,3,34.562,37.62,2,0,73.58,False,avoidance
baseline,77,15.4,0,24.837,24.602,2,0,95.186,False,avoidance
baseline,77,15.4,1,21.301,39.155,2,0,87.906,False,avoidance
baseline,77,15.4,2,39.115,23.48,2,0,81.383,False,avoidance
baseline,77,15.4,3,34.932,37.773,3,0,73.201,False,avoidance
baseline,78,15.6,0,25.231,24.673,1,0,94.852,False,avoidance
baseline,78,15.6,1,21.28,39.554,1,0,87.675,False,avoidance
baseline,78,15.6,2,39.466,23.67,1,0,81.025,False,avoidance
baseline,78,15.6,3,35.207,38.064,2,0,72.802,False,avoidance
baseline,79,15.8,0,25.449,25.008,1,0,94.463,False,avoidance
baseline,79,15.8,1,21.54,39.858,1,0,87.282,False,avoidance
baseline,79,15.8,2,39.741,23.961,2,0,80.629,False,avoidance
baseline,79,15.8,3,35.58,38.207,3,0,72.427,False,avoidance
baseline,80,16.0,0,25.668,25.343,1,0,94.074,False,avoidance
baseline,80,16.0,1,21.798,40.163,1,0,86.89,False,avoidance
baseline,80,16.0,2,40.093,24.152,2,0,80.271,False,avoidance
baseline,80,16.0,3,35.859,38.494,3,0,72.028,False,avoidance
baseline,81,16.2,0,25.886,25.678,1,0,93.685,False,avoidance
baseline,81,16.2,1,22.057,40.468,1,0,86.498,False,avoidance
baseline,81,16.2,2,40.444,24.344,1,0,79.913,False,avoidance
baseline,81,16.2,3,36.141,38.778,2,0,71.629,False,avoidance
baseline,82,16.4,0,26.104,26.013,1,0,93.296,False,avoidance
baseline,82,16.4,1,22.317,40.773,1,0,86.105,False,avoidance
baseline,82,16.4,2,40.719,24.634,2,0,79.518,False,avoidance
baseline,82,16.4,3,36.52,38.906,3,0,71.26,False,avoidance
baseline,83,16.6,0,26.322,26.349,1,0,92.907,False,avoidance
baseline,83,16.6,1,22.575,41.078,1,0,85.714,False,avoidance
baseline,83,16.6,2,41.071,24.824,2,0,79.161,False,avoidance
baseline,83,16.6,3,36.807,39.184,3,0,70.86,False,avoidance
baseline,84,16.8,0,26.541,26.684,1,0,92.519,False,avoidance
baseline,84,16.8,1,22.834,41.383,1,0,85.322,False,avoidance
baseline,84,16.8,2,41.423,25.015,1,0,78.805,False,avoidance
baseline,84,16.8,3,37.099,39.458,2,0,70.46,False,avoidance
baseline,85,17.0,0,26.758,27.019,0,0,92.13,False,move
baseline,85,17.0,1,23.092,41.688,1,0,84.93,False,avoidance
baseline,85,17.0,2,41.698,25.305,1,0,78.41,False,avoidance
baseline,85,17.0,3,37.484,39.567,3,0,70.1,False,avoidance
baseline,86,17.2,0,27.05,27.293,0,0,91.73,False,move
baseline,86,17.2,1,23.35,41.995,1,0,84.539,False,avoidance
baseline,86,17.2,2,42.049,25.497,1,0,78.053,False,avoidance
baseline,86,17.2,3,37.782,39.833,3,0,69.7,False,avoidance
baseline,87,17.4,0,27.342,27.566,0,0,91.33,False,move
baseline,87,17.4,1,23.608,42.3,1,0,84.148,False,avoidance
baseline,87,17.4,2,42.398,25.691,0,0,77.696,False,move
baseline,87,17.4,3,38.086,40.094,2,0,69.3,False,avoidance
baseline,88,17.6,0,27.634,27.84,0,0,90.93,False,move
baseline,88,17.6,1,23.866,42.606,1,0,83.756,False,avoidance
baseline,88,17.6,2,42.623,26.022,1,0,77.296,False,avoidance
baseline,88,17.6,3,38.477,40.177,3,0,68.952,False,avoidance
baseline,89,17.8,0,27.926,28.113,0,0,90.53,False,move
baseline,89,17.8,1,24.122,42.913,1,0,83.365,False,avoidance
baseline,89,17.8,2,42.974,26.215,1,0,76.94,False,avoidance
baseline,89,17.8,3,38.79,40.426,3,0,68.553,False,avoidance
baseline,90,18.0,0,28.218,28.386,0,0,90.13,False,move
baseline,90,18.0,1,24.379,43.22,1,0,82.975,False,avoidance
baseline,90,18.0,2,43.324,26.409,1,0,76.584,False,avoidance
baseline,90,18.0,3,39.11,40.666,3,0,68.154,False,avoidance
baseline,91,18.2,0,28.51,28.66,0,0,89.73,False,move
baseline,91,18.2,1,24.636,43.526,0,0,82.584,False,move
baseline,91,18.2,2,43.673,26.604,1,0,76.228,False,avoidance
baseline,91,18.2,3,39.437,40.897,2,0,67.756,False,avoidance
baseline,92,18.4,0,28.802,28.933,0,0,89.33,False,move
baseline,92,18.4,1,24.953,43.771,1,0,82.184,False,avoidance
baseline,92,18.4,2,44.021,26.8,0,0,75.871,False,move
baseline,92,18.4,3,39.686,41.209,2,0,67.362,False,avoidance
baseline,93,18.6,0,29.094,29.207,0,0,88.93,False,move
baseline,93,18.6,1,25.21,44.077,0,0,81.793,False,move
baseline,93,18.6,2,44.243,27.133,1,0,75.471,False,avoidance
baseline,93,18.6,3,40.086,41.23,2,0,67.051,False,avoidance
baseline,94,18.8,0,29.386,29.48,0,0,88.53,False,move
baseline,94,18.8,1,25.527,44.321,0,0,81.393,False,move
baseline,94,18.8,2,44.592,27.328,1,0,75.116,False,avoidance
baseline,94,18.8,3,40.377,41.504,2,0,66.651,False,avoidance
baseline,95,19.0,0,29.678,29.754,0,0,88.13,False,move
baseline,95,19.0,1,25.844,44.565,0,0,80.993,False,move
baseline,95,19.0,2,44.94,27.525,1,0,74.76,False,avoidance
baseline,95,19.0,3,40.708,41.728,2,0,66.255,False,avoidance
baseline,96,19.2,0,29.97,30.027,0,0,87.73,False,move
baseline,96,19.2,1,26.161,44.809,0,0,80.593,False,move
baseline,96,19.2,2,45.288,27.722,1,0,74.404,False,avoidance
baseline,96,19.2,3,41.088,41.854,2,0,65.888,False,avoidance
baseline,97,19.4,0,30.262,30.301,0,0,87.33,False,move
baseline,97,19.4,1,26.477,45.053,0,0,80.193,False,move
baseline,97,19.4,2,45.636,27.92,1,0,74.049,False,avoidance
baseline,97,19.4,3,41.487,41.832,2,0,65.607,False,avoidance
baseline,98,19.6,0,30.554,30.574,0,0,86.93,False,move
baseline,98,19.6,1,26.794,45.297,0,0,79.793,False,move
baseline,98,19.6,2,45.985,28.116,1,0,73.695,False,avoidance
baseline,98,19.6,3,41.865,41.698,2,0,65.419,False,avoidance
baseline,99,19.8,0,30.846,30.847,0,0,86.53,False,move
