scenario,fusion_mode,num_trials,mission_success_rate,mission_success_rate_ci95_lower,mission_success_rate_ci95_upper,collision_risk_count_mean,collision_risk_count_median,collision_risk_count_stdev,collision_risk_count_min,collision_risk_count_max,collision_risk_count_ci95_lower,collision_risk_count_ci95_upper,unnecessary_avoidance_count_mean,unnecessary_avoidance_count_median,unnecessary_avoidance_count_stdev,unnecessary_avoidance_count_min,unnecessary_avoidance_count_max,unnecessary_avoidance_count_ci95_lower,unnecessary_avoidance_count_ci95_upper,missed_response_count_mean,missed_response_count_median,missed_response_count_stdev,missed_response_count_min,missed_response_count_max,missed_response_count_ci95_lower,missed_response_count_ci95_upper,fusion_recovery_count_mean,fusion_recovery_count_median,fusion_recovery_count_stdev,fusion_recovery_count_min,fusion_recovery_count_max,fusion_recovery_count_ci95_lower,fusion_recovery_count_ci95_upper,avg_response_time_s_mean,avg_response_time_s_median,avg_response_time_s_stdev,avg_response_time_s_min,avg_response_time_s_max,avg_response_time_s_ci95_lower,avg_response_time_s_ci95_upper,total_near_misses_mean,total_near_misses_median,total_near_misses_stdev,total_near_misses_min,total_near_misses_max,total_near_misses_ci95_lower,total_near_misses_ci95_upper,avg_formation_error_mean,avg_formation_error_median,avg_formation_error_stdev,avg_formation_error_min,avg_formation_error_max,avg_formation_error_ci95_lower,avg_formation_error_ci95_upper,all_trials_passed,num_failed_trials
env_communication_delay,no_fusion,20,0.3,0.08,0.52,102.75,106.0,10.1974,84,119,97.9775,107.5225,0,0.0,0.0,0,0,0,0,3.15,0.5,4.4518,0,15,1.0665,5.2335,0,0.0,0.0,0,0,0,0,1.2069,1.2,0.0149,1.2,1.25,1.1999,1.2139,55.45,57.0,6.0565,43,66,52.6155,58.2845,4.1903,4.131,0.2648,3.873,4.706,4.0664,4.3143,PASS,0
env_partial_sensor_failure,no_fusion,20,1.0,1.0,1.0,79,79.0,0.0,79,79,79,79,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,47.0,0.0,47,47,47,47,3.682,3.682,0.0,3.682,3.682,3.682,3.682,PASS,0
perfect_communication,trust_weighted_fusion,20,0.45,0.2111,0.6889,89.05,88.0,14.1774,68,131,82.4149,95.6851,0,0.0,0.0,0,0,0,0,9.85,9.0,3.6602,5,16,8.137,11.563,82.35,82.5,9.2297,68,113,78.0304,86.6696,0.0396,0.0315,0.0262,0.013,0.1,0.0273,0.0518,44.15,42.5,8.7796,31,61,40.0411,48.2589,4.0366,3.986,0.2414,3.75,4.736,3.9236,4.1496,PASS,0
low_packet_loss,trust_weighted_fusion,20,0.45,0.2111,0.6889,89.05,88.0,14.1774,68,131,82.4149,95.6851,0,0.0,0.0,0,0,0,0,9.85,9.0,3.6602,5,16,8.137,11.563,82.35,82.5,9.2297,68,113,78.0304,86.6696,0.0396,0.0315,0.0262,0.013,0.1,0.0273,0.0518,44.15,42.5,8.7796,31,61,40.0411,48.2589,4.0366,3.986,0.2414,3.75,4.736,3.9236,4.1496,PASS,0
high_packet_loss,trust_weighted_fusion,20,0.45,0.2111,0.6889,89.05,88.0,14.1774,68,131,82.4149,95.6851,0,0.0,0.0,0,0,0,0,9.85,9.0,3.6602,5,16,8.137,11.563,82.35,82.5,9.2297,68,113,78.0304,86.6696,0.0396,0.0315,0.0262,0.013,0.1,0.0273,0.0518,44.15,42.5,8.7796,31,61,40.0411,48.2589,4.0366,3.986,0.2414,3.75,4.736,3.9236,4.1496,PASS,0
short_communication_range,trust_weighted_fusion,20,0.45,0.2111,0.6889,89.05,88.0,14.1774,68,131,82.4149,95.6851,0,0.0,0.0,0,0,0,0,9.85,9.0,3.6602,5,16,8.137,11.563,82.35,82.5,9.2297,68,113,78.0304,86.6696,0.0396,0.0315,0.0262,0.013,0.1,0.0273,0.0518,44.15,42.5,8.7796,31,61,40.0411,48.2589,4.0366,3.986,0.2414,3.75,4.736,3.9236,4.1496,PASS,0
delayed_track_sharing,trust_weighted_fusion,20,0.45,0.2111,0.6889,89.05,88.0,14.1774,68,131,82.4149,95.6851,0,0.0,0.0,0,0,0,0,9.85,9.0,3.6602,5,16,8.137,11.563,82.35,82.5,9.2297,68,113,78.0304,86.6696,0.0396,0.0315,0.0262,0.013,0.1,0.0273,0.0518,44.15,42.5,8.7796,31,61,40.0411,48.2589,4.0366,3.986,0.2414,3.75,4.736,3.9236,4.1496,PASS,0
communication_outage,trust_weighted_fusion,20,0.45,0.2111,0.6889,89.05,88.0,14.1774,68,131,82.4149,95.6851,0,0.0,0.0,0,0,0,0,9.85,9.0,3.6602,5,16,8.137,11.563,82.35,82.5,9.2297,68,113,78.0304,86.6696,0.0396,0.0315,0.0262,0.013,0.1,0.0273,0.0518,44.15,42.5,8.7796,31,61,40.0411,48.2589,4.0366,3.986,0.2414,3.75,4.736,3.9236,4.1496,PASS,0
faulty_sensor_naive_fusion,naive_fusion,20,1.0,1.0,1.0,79,79.0,0.0,79,79,79,79,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,47.0,0.0,47,47,47,47,3.682,3.682,0.0,3.682,3.682,3.682,3.682,PASS,0
faulty_sensor_confidence_weighted_fusion,confidence_weighted_fusion,20,1.0,1.0,1.0,79,79.0,0.0,79,79,79,79,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,47.0,0.0,47,47,47,47,3.682,3.682,0.0,3.682,3.682,3.682,3.682,PASS,0
